,market,pair,trade_price,trade_volume
338,Trade Satoshi,KB3/LTC,$94.34,$0
339,C-CEX,VRS/LTC,$340.75,$0
340,Trade Satoshi,PIE/LTC,$21.31,$0
341,VirtacoinWorld,XVP/LTC,$169.66,$0
342,Trade Satoshi,4CHN/LTC,$119.99,$0
343,CoinExchange,TER/LTC,$212.81,$0
344,Cryptopia,XRY/LTC, $48.77,$0
345,Trade Satoshi,SOJ/LTC,$45.53,$0
346,C-CEX,OX/LTC,$35.80,$0
347,C-CEX,BQ/LTC,$66.46,$0
348,SouthXchange,XGOX/LTC,$173.78,$0
349,GOPAX,LTC/KRW,$180.08,"$166,609"
350,Cobinhood,LTC/BTC,$171.09,"$6,728"
351,GOPAX,LTC/BTC,$169.84,"$2,270"
352,Cobinhood,LTC/USDT,$151.06,"$1,454"
353,BITHOLIC,LTC/BTC,$168.39,$0
